I'll help you implement the necessary changes to add the `fill_value` parameter to `IterativeImputer`. Let's start by exploring the repository structure to understand how the code is organized.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(impute|iterative)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/impute/__init__.py
/testbed/sklearn/impute/tests/__init__.py
/testbed/sklearn/impute/tests/test_knn.py
/testbed/sklearn/impute/tests/test_common.py
/testbed/sklearn/impute/tests/test_impute.py
/testbed/sklearn/impute/tests/test_base.py
/testbed/sklearn/impute/_knn.py
/testbed/sklearn/impute/_base.py
/testbed/sklearn/impute/_iterative.py
/testbed/sklearn/experimental/tests/test_enable_iterative_imputer.py
/testbed/sklearn/experimental/enable_iterative_imputer.py
/testbed/examples/impute/plot_iterative_imputer_variants_comparison.py
/testbed/examples/impute/plot_missing_values.py</function_results>

Great! Let's look at the structure of the impute module:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sklearn/impute, excluding hidden items and node_modules:
179K	/testbed/sklearn/impute
   137	    min_value : float or array-like of shape (n_features,), default=-np.inf
   138	        Minimum possible imputed value. Broadcast to shape `(n_features,)` if
   139	        scalar. If array-like, expects shape `(n_features,)`, one min value for
   140	        each feature. The default is `-np.inf`.
   141	
   142	        .. versionchanged:: 0.23
   143	           Added support for array-like.
   144	
   145	    max_value : float or array-like of shape (n_features,), default=np.inf
   146	        Maximum possible imputed value. Broadcast to shape `(n_features,)` if
   147	        scalar. If array-like, expects shape `(n_features,)`, one max value for
   148	        each feature. The default is `np.inf`.
   149	
   150	        .. versionchanged:: 0.23
   151	           Added support for array-like.
   152	
   153	    verbose : int, default=0
   154	        Verbosity flag, controls the debug messages that are issued
   155	        as functions are evaluated. The higher, the more verbose. Can be 0, 1,
   156	        or 2.
   157	
   158	    random_state : int, RandomState instance or None, default=None
   159	        The seed of the pseudo random number generator to use. Randomizes
   160	        selection of estimator features if `n_nearest_features` is not `None`,
   161	        the `imputation_order` if `random`, and the sampling from posterior if
   162	        `sample_posterior=True`. Use an integer for determinism.
   163	        See :term:`the Glossary <random_state>`.
   164	
   165	    add_indicator : bool, default=False
   166	        If `True`, a :class:`MissingIndicator` transform will stack onto output
   167	        of the imputer's transform. This allows a predictive estimator
   168	        to account for missingness despite imputation. If a feature has no
   169	        missing values at fit/train time, the feature won't appear on
   170	        the missing indicator even if there are missing values at
   171	        transform/test time.
   172	
   173	    keep_empty_features : bool, default=False
   174	        If True, features that consist exclusively of missing values when
   175	        `fit` is called are returned in results when `transform` is called.
   176	        The imputed value is always `0` except when
   177	        `initial_strategy="constant"` in which case `fill_value` will be
   178	        used instead.
   179	
   180	        .. versionadded:: 1.2
   181	
   182	    Attributes
   183	    ----------
   184	    initial_imputer_ : object of type :class:`~sklearn.impute.SimpleImputer`
   185	        Imputer used to initialize the missing values.
   186	
   187	    imputation_sequence_ : list of tuples
   188	        Each tuple has `(feat_idx, neighbor_feat_idx, estimator)`, where
   189	        `feat_idx` is the current feature to be imputed,
   190	        `neighbor_feat_idx` is the array of other features used to impute the
   191	        current feature, and `estimator` is the trained estimator used for
   192	        the imputation. Length is `self.n_features_with_missing_ *
   193	        self.n_iter_`.
   194	
   195	    n_iter_ : int
   196	        Number of iteration rounds that occurred. Will be less than
   197	        `self.max_iter` if early stopping criterion was reached.
   198	
   199	    n_features_in_ : int
   200	        Number of features seen during :term:`fit`.
   201	
   202	        .. versionadded:: 0.24
   203	
   204	    feature_names_in_ : ndarray of shape (`n_features_in_`,)
   205	        Names of features seen during :term:`fit`. Defined only when `X`
   206	        has feature names that are all strings.
   207	
   208	        .. versionadded:: 1.0
   209	
   210	    n_features_with_missing_ : int
	< truncated lines 211-681 >
   682	
   683	        Returns
   684	        -------
   685	        Xt : array-like, shape (n_samples, n_features)
   686	            The imputed input data.
   687	        """
   688	        self._validate_params()
   689	        self.random_state_ = getattr(
   690	            self, "random_state_", check_random_state(self.random_state)
   691	        )
   692	
   693	        if self.estimator is None:
   694	            from ..linear_model import BayesianRidge
   695	
   696	            self._estimator = BayesianRidge()
   697	        else:
   698	            self._estimator = clone(self.estimator)
   699	
   700	        self.imputation_sequence_ = []
   701	
   702	        self.initial_imputer_ = None
   703	
   704	        X, Xt, mask_missing_values, complete_mask = self._initial_imputation(
   705	            X, in_fit=True
   706	        )
   707	
   708	        super()._fit_indicator(complete_mask)
   709	        X_indicator = super()._transform_indicator(complete_mask)
   710	
   711	        if self.max_iter == 0 or np.all(mask_missing_values):
   712	            self.n_iter_ = 0
   713	            return super()._concatenate_indicator(Xt, X_indicator)
   714	
   715	        # Edge case: a single feature. We return the initial ...
   716	        if Xt.shape[1] == 1:
   717	            self.n_iter_ = 0
   718	            return super()._concatenate_indicator(Xt, X_indicator)
   719	
   720	        self._min_value = self._validate_limit(self.min_value, "min", X.shape[1])
   721	        self._max_value = self._validate_limit(self.max_value, "max", X.shape[1])
   722	
   723	        if not np.all(np.greater(self._max_value, self._min_value)):
   724	            raise ValueError("One (or more) features have min_value >= max_value.")
   725	
   726	        # order in which to impute
   727	        # note this is probably too slow for large feature data (d > 100000)
   728	        # and a better way would be good.
   729	        # see: https://goo.gl/KyCNwj and subsequent comments
   730	        ordered_idx = self._get_ordered_idx(mask_missing_values)
   731	        self.n_features_with_missing_ = len(ordered_idx)
   732	
   733	        abs_corr_mat = self._get_abs_corr_mat(Xt)
   734	
   735	        n_samples, n_features = Xt.shape
   736	        if self.verbose > 0:
   737	            print("[IterativeImputer] Completing matrix with shape %s" % (X.shape,))
   738	        start_t = time()
   739	        if not self.sample_posterior:
   740	            Xt_previous = Xt.copy()
   741	            normalized_tol = self.tol * np.max(np.abs(X[~mask_missing_values]))
   742	        for self.n_iter_ in range(1, self.max_iter + 1):
   743	            if self.imputation_order == "random":
   744	                ordered_idx = self._get_ordered_idx(mask_missing_values)
   745	
   746	            for feat_idx in ordered_idx:
   747	                neighbor_feat_idx = self._get_neighbor_feat_idx(
   748	                    n_features, feat_idx, abs_corr_mat
   749	                )
   750	                Xt, estimator = self._impute_one_feature(
   751	                    Xt,
   752	                    mask_missing_values,
   753	                    feat_idx,
   754	                    neighbor_feat_idx,
   755	                    estimator=None,
   756	                    fit_mode=True,
   757	                )
   758	                estimator_triplet = _ImputerTriplet(
   759	                    feat_idx, neighbor_feat_idx, estimator
   760	                )
   761	                self.imputation_sequence_.append(estimator_triplet)
   762	
   763	            if self.verbose > 1:
   764	                print(
   765	                    "[IterativeImputer] Ending imputation round "
   766	                    "%d/%d, elapsed time %0.2f"
   767	                    % (self.n_iter_, self.max_iter, time() - start_t)
   768	                )
   769	
   770	            if not self.sample_posterior:
   771	                inf_norm = np.linalg.norm(Xt - Xt_previous, ord=np.inf, axis=None)
   772	                if self.verbose > 0:
   773	                    print(
   774	                        "[IterativeImputer] Change: {}, scaled tolerance: {} ".format(
   775	                            inf_norm, normalized_tol
   776	                        )
   777	                    )
   778	                if inf_norm < normalized_tol:
   779	                    if self.verbose > 0:
   780	                        print("[IterativeImputer] Early stopping criterion reached.")
   781	                    break
   782	                Xt_previous = Xt.copy()
   783	        else:
   784	            if not self.sample_posterior:
   785	                warnings.warn(
   786	                    "[IterativeImputer] Early stopping criterion not reached.",
   787	                    ConvergenceWarning,
   788	                )
   789	        _assign_where(Xt, X, cond=~mask_missing_values)
   790	
   791	        return super()._concatenate_indicator(Xt, X_indicator)
   792	
   793	    def transform(self, X):
   794	        """Impute all missing values in `X`.
   795	
   796	        Note that this is stochastic, and that if `random_state` is not fixed,
   797	        repeated calls, or permuted input, results will differ.
   798	
   799	        Parameters
   800	        ----------
   801	        X : array-like of shape (n_samples, n_features)
   802	            The input data to complete.
   803	
   804	        Returns
   805	        -------
   806	        Xt : array-like, shape (n_samples, n_features)
   807	             The imputed input data.
   808	        """
   809	        check_is_fitted(self)
   810	
   811	        X, Xt, mask_missing_values, complete_mask = self._initial_imputation(
   812	            X, in_fit=False
   813	        )
   814	
   815	        X_indicator = super()._transform_indicator(complete_mask)
   816	
   817	        if self.n_iter_ == 0 or np.all(mask_missing_values):
   818	            return super()._concatenate_indicator(Xt, X_indicator)
   819	
   820	        imputations_per_round = len(self.imputation_sequence_) // self.n_iter_
   821	        i_rnd = 0
   822	        if self.verbose > 0:
   823	            print("[IterativeImputer] Completing matrix with shape %s" % (X.shape,))
   824	        start_t = time()
   825	        for it, estimator_triplet in enumerate(self.imputation_sequence_):
   826	            Xt, _ = self._impute_one_feature(
   827	                Xt,
   828	                mask_missing_values,
   829	                estimator_triplet.feat_idx,
   830	                estimator_triplet.neighbor_feat_idx,
   831	                estimator=estimator_triplet.estimator,
   832	                fit_mode=False,
   833	            )
   834	            if not (it + 1) % imputations_per_round:
   835	                if self.verbose > 1:
   836	                    print(
   837	                        "[IterativeImputer] Ending imputation round "
   838	                        "%d/%d, elapsed time %0.2f"
   839	                        % (i_rnd + 1, self.n_iter_, time() - start_t)
   840	                    )
   841	                i_rnd += 1
   842	
   843	        _assign_where(Xt, X, cond=~mask_missing_values)
   844	
   845	        return super()._concatenate_indicator(Xt, X_indicator)
   846	
   847	    def fit(self, X, y=None):
   848	        """Fit the imputer on `X` and return self.
   849	
   850	        Parameters
   851	        ----------
   852	        X : array-like, shape (n_samples, n_features)
   853	            Input data, where `n_samples` is the number of samples and
   854	            `n_features` is the number of features.
   855	
   856	        y : Ignored
   857	            Not used, present for API consistency by convention.
   858	
   859	        Returns
   860	        -------
   861	        self : object
   862	            Fitted estimator.
   863	        """
   864	        self.fit_transform(X)
   865	        return self
   866	
   867	    def get_feature_names_out(self, input_features=None):
   868	        """Get output feature names for transformation.
   869	
   870	        Parameters
   871	        ----------
   872	        input_features : array-like of str or None, default=None
   873	            Input features.
   874	
   875	            - If `input_features` is `None`, then `feature_names_in_` is
   876	              used as feature names in. If `feature_names_in_` is not defined,
   877	              then the following input feature names are generated:
   878	              `["x0", "x1", ..., "x(n_features_in_ - 1)"]`.
   879	            - If `input_features` is an array-like, then `input_features` must
   880	              match `feature_names_in_` if `feature_names_in_` is defined.
   881	
   882	        Returns
   883	        -------
   884	        feature_names_out : ndarray of str objects
   885	            Transformed feature names.
   886	        """
   887	        input_features = _check_feature_names_in(self, input_features)
   888	        names = self.initial_imputer_.get_feature_names_out(input_features)
   889	        return self._concatenate_indicator_feature_names_out(names, input_features)
   890	</function_results>

Now let's look at the `__init__` method to see the current parameters:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="view_range">[211, 300]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/impute/_iterative.py with line numbers (which has a total of 890 lines) with view_range=[211, 300]:
   211	        Number of features with missing values.
   212	
   213	    indicator_ : :class:`~sklearn.impute.MissingIndicator`
   214	        Indicator used to add binary indicators for missing values.
   215	        `None` if `add_indicator=False`.
   216	
   217	    random_state_ : RandomState instance
   218	        RandomState instance that is generated either from a seed, the random
   219	        number generator or by `np.random`.
   220	
   221	    See Also
   222	    --------
   223	    SimpleImputer : Univariate imputer for completing missing values
   224	        with simple strategies.
   225	    KNNImputer : Multivariate imputer that estimates missing features using
   226	        nearest samples.
   227	
   228	    Notes
   229	    -----
   230	    To support imputation in inductive mode we store each feature's estimator
   231	    during the :meth:`fit` phase, and predict without refitting (in order)
   232	    during the :meth:`transform` phase.
   233	
   234	    Features which contain all missing values at :meth:`fit` are discarded upon
   235	    :meth:`transform`.
   236	
   237	    Using defaults, the imputer scales in :math:`\\mathcal{O}(knp^3\\min(n,p))`
   238	    where :math:`k` = `max_iter`, :math:`n` the number of samples and
   239	    :math:`p` the number of features. It thus becomes prohibitively costly when
   240	    the number of features increases. Setting
   241	    `n_nearest_features << n_features`, `skip_complete=True` or increasing `tol`
   242	    can help to reduce its computational cost.
   243	
   244	    Depending on the nature of missing values, simple imputers can be
   245	    preferable in a prediction context.
   246	
   247	    References
   248	    ----------
   249	    .. [1] `Stef van Buuren, Karin Groothuis-Oudshoorn (2011). "mice:
   250	        Multivariate Imputation by Chained Equations in R". Journal of
   251	        Statistical Software 45: 1-67.
   252	        <https://www.jstatsoft.org/article/view/v045i03>`_
   253	
   254	    .. [2] `S. F. Buck, (1960). "A Method of Estimation of Missing Values in
   255	        Multivariate Data Suitable for use with an Electronic Computer".
   256	        Journal of the Royal Statistical Society 22(2): 302-306.
   257	        <https://www.jstor.org/stable/2984099>`_
   258	
   259	    Examples
   260	    --------
   261	    >>> import numpy as np
   262	    >>> from sklearn.experimental import enable_iterative_imputer
   263	    >>> from sklearn.impute import IterativeImputer
   264	    >>> imp_mean = IterativeImputer(random_state=0)
   265	    >>> imp_mean.fit([[7, 2, 3], [4, np.nan, 6], [10, 5, 9]])
   266	    IterativeImputer(random_state=0)
   267	    >>> X = [[np.nan, 2, 3], [4, np.nan, 6], [10, np.nan, 9]]
   268	    >>> imp_mean.transform(X)
   269	    array([[ 6.9584...,  2.       ,  3.        ],
   270	           [ 4.       ,  2.6000...,  6.        ],
   271	           [10.       ,  4.9999...,  9.        ]])
   272	    """
   273	
   274	    _parameter_constraints: dict = {
   275	        **_BaseImputer._parameter_constraints,
   276	        "estimator": [None, HasMethods(["fit", "predict"])],
   277	        "sample_posterior": ["boolean"],
   278	        "max_iter": [Interval(Integral, 0, None, closed="left")],
   279	        "tol": [Interval(Real, 0, None, closed="left")],
   280	        "n_nearest_features": [None, Interval(Integral, 1, None, closed="left")],
   281	        "initial_strategy": [
   282	            StrOptions({"mean", "median", "most_frequent", "constant"})
   283	        ],
   284	        "imputation_order": [
   285	            StrOptions({"ascending", "descending", "roman", "arabic", "random"})
   286	        ],
   287	        "skip_complete": ["boolean"],
   288	        "min_value": [None, Interval(Real, None, None, closed="both"), "array-like"],
   289	        "max_value": [None, Interval(Real, None, None, closed="both"), "array-like"],
   290	        "verbose": ["verbose"],
   291	        "random_state": ["random_state"],
   292	    }
   293	
   294	    def __init__(
   295	        self,
   296	        estimator=None,
   297	        *,
   298	        missing_values=np.nan,
   299	        sample_posterior=False,
   300	        max_iter=10,
</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="view_range">[294, 350]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/impute/_iterative.py with line numbers (which has a total of 890 lines) with view_range=[294, 350]:
   294	    def __init__(
   295	        self,
   296	        estimator=None,
   297	        *,
   298	        missing_values=np.nan,
   299	        sample_posterior=False,
   300	        max_iter=10,
   301	        tol=1e-3,
   302	        n_nearest_features=None,
   303	        initial_strategy="mean",
   304	        imputation_order="ascending",
   305	        skip_complete=False,
   306	        min_value=-np.inf,
   307	        max_value=np.inf,
   308	        verbose=0,
   309	        random_state=None,
   310	        add_indicator=False,
   311	        keep_empty_features=False,
   312	    ):
   313	        super().__init__(
   314	            missing_values=missing_values,
   315	            add_indicator=add_indicator,
   316	            keep_empty_features=keep_empty_features,
   317	        )
   318	
   319	        self.estimator = estimator
   320	        self.sample_posterior = sample_posterior
   321	        self.max_iter = max_iter
   322	        self.tol = tol
   323	        self.n_nearest_features = n_nearest_features
   324	        self.initial_strategy = initial_strategy
   325	        self.imputation_order = imputation_order
   326	        self.skip_complete = skip_complete
   327	        self.min_value = min_value
   328	        self.max_value = max_value
   329	        self.verbose = verbose
   330	        self.random_state = random_state
   331	
   332	    def _impute_one_feature(
   333	        self,
   334	        X_filled,
   335	        mask_missing_values,
   336	        feat_idx,
   337	        neighbor_feat_idx,
   338	        estimator=None,
   339	        fit_mode=True,
   340	    ):
   341	        """Impute a single feature from the others provided.
   342	
   343	        This function predicts the missing values of one of the features using
   344	        the current estimates of all the other features. The `estimator` must
   345	        support `return_std=True` in its `predict` method for this function
   346	        to work.
   347	
   348	        Parameters
   349	        ----------
   350	        X_filled : ndarray
</function_results>

Now let's look at the `_initial_imputation` method to see how the initial imputation is handled:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -n "_initial_imputation" /testbed/sklearn/impute/_iterative.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>565:    def _initial_imputation(self, X, in_fit=False):
704:        X, Xt, mask_missing_values, complete_mask = self._initial_imputation(
811:        X, Xt, mask_missing_values, complete_mask = self._initial_imputation(</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="view_range">[565, 620]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/impute/_iterative.py with line numbers (which has a total of 890 lines) with view_range=[565, 620]:
   565	    def _initial_imputation(self, X, in_fit=False):
   566	        """Perform initial imputation for input `X`.
   567	
   568	        Parameters
   569	        ----------
   570	        X : ndarray of shape (n_samples, n_features)
   571	            Input data, where `n_samples` is the number of samples and
   572	            `n_features` is the number of features.
   573	
   574	        in_fit : bool, default=False
   575	            Whether function is called in :meth:`fit`.
   576	
   577	        Returns
   578	        -------
   579	        Xt : ndarray of shape (n_samples, n_features)
   580	            Input data, where `n_samples` is the number of samples and
   581	            `n_features` is the number of features.
   582	
   583	        X_filled : ndarray of shape (n_samples, n_features)
   584	            Input data with the most recent imputations.
   585	
   586	        mask_missing_values : ndarray of shape (n_samples, n_features)
   587	            Input data's missing indicator matrix, where `n_samples` is the
   588	            number of samples and `n_features` is the number of features,
   589	            masked by non-missing features.
   590	
   591	        X_missing_mask : ndarray, shape (n_samples, n_features)
   592	            Input data's mask matrix indicating missing datapoints, where
   593	            `n_samples` is the number of samples and `n_features` is the
   594	            number of features.
   595	        """
   596	        if is_scalar_nan(self.missing_values):
   597	            force_all_finite = "allow-nan"
   598	        else:
   599	            force_all_finite = True
   600	
   601	        X = self._validate_data(
   602	            X,
   603	            dtype=FLOAT_DTYPES,
   604	            order="F",
   605	            reset=in_fit,
   606	            force_all_finite=force_all_finite,
   607	        )
   608	        _check_inputs_dtype(X, self.missing_values)
   609	
   610	        X_missing_mask = _get_mask(X, self.missing_values)
   611	        mask_missing_values = X_missing_mask.copy()
   612	        if self.initial_imputer_ is None:
   613	            self.initial_imputer_ = SimpleImputer(
   614	                missing_values=self.missing_values,
   615	                strategy=self.initial_strategy,
   616	                keep_empty_features=self.keep_empty_features,
   617	            )
   618	            X_filled = self.initial_imputer_.fit_transform(X)
   619	        else:
   620	            X_filled = self.initial_imputer_.transform(X)
</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="view_range">[620, 680]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/impute/_iterative.py with line numbers (which has a total of 890 lines) with view_range=[620, 680]:
   620	            X_filled = self.initial_imputer_.transform(X)
   621	
   622	        valid_mask = np.flatnonzero(
   623	            np.logical_not(np.isnan(self.initial_imputer_.statistics_))
   624	        )
   625	
   626	        if not self.keep_empty_features:
   627	            # drop empty features
   628	            Xt = X[:, valid_mask]
   629	            mask_missing_values = mask_missing_values[:, valid_mask]
   630	        else:
   631	            # mark empty features as not missing and keep the original
   632	            # imputation
   633	            mask_missing_values[:, valid_mask] = True
   634	            Xt = X
   635	
   636	        return Xt, X_filled, mask_missing_values, X_missing_mask
   637	
   638	    @staticmethod
   639	    def _validate_limit(limit, limit_type, n_features):
   640	        """Validate the limits (min/max) of the feature values.
   641	
   642	        Converts scalar min/max limits to vectors of shape `(n_features,)`.
   643	
   644	        Parameters
   645	        ----------
   646	        limit: scalar or array-like
   647	            The user-specified limit (i.e, min_value or max_value).
   648	        limit_type: {'max', 'min'}
   649	            Type of limit to validate.
   650	        n_features: int
   651	            Number of features in the dataset.
   652	
   653	        Returns
   654	        -------
   655	        limit: ndarray, shape(n_features,)
   656	            Array of limits, one for each feature.
   657	        """
   658	        limit_bound = np.inf if limit_type == "max" else -np.inf
   659	        limit = limit_bound if limit is None else limit
   660	        if np.isscalar(limit):
   661	            limit = np.full(n_features, limit)
   662	        limit = check_array(limit, force_all_finite=False, copy=False, ensure_2d=False)
   663	        if not limit.shape[0] == n_features:
   664	            raise ValueError(
   665	                f"'{limit_type}_value' should be of "
   666	                f"shape ({n_features},) when an array-like "
   667	                f"is provided. Got {limit.shape}, instead."
   668	            )
   669	        return limit
   670	
   671	    def fit_transform(self, X, y=None):
   672	        """Fit the imputer on `X` and return the transformed `X`.
   673	
